model,term,n,r_squared,coef,std_error,p_value,note
minimal_text_driver,const,50,0.34563614036085355,0.03176299459914632,0.05292986778213419,0.5484423506007399,
minimal_text_driver,output_length_delta_tokens,50,0.34563614036085355,0.00011199251714121174,0.00017300652369030918,0.5174176258265493,
minimal_text_driver,factual_score_delta,50,0.34563614036085355,-0.27737472972477817,0.20616617281082922,0.17849803525276153,
minimal_text_driver,question_token_edit_distance_norm,50,0.34563614036085355,0.0866371032651494,0.08327352853150284,0.29815787064296817,
minimal_text_driver,cue_disruption,50,0.34563614036085355,0.06573612395635284,0.05780753809553885,0.25547354582822557,
scope_style,const,50,0.3159369102908607,0.26826448109709905,0.043296214591763325,5.790648217212931e-10,
scope_style,answer_scope_proxy,50,0.3159369102908607,0.022404882601093714,0.013682902476106795,0.10153931732757973,
scope_style,question_content_recall,50,0.3159369102908607,-0.23839101105142854,0.06769643197663955,0.000429159867673366,
scope_style,question_context_content_overlap_delta,50,0.3159369102908607,0.1904130026742289,0.1536883726370613,0.2153621033971066,
output_distance,const,50,0.3266544957883122,-0.06100410116269206,0.04698956466023265,0.19420218122834332,
output_distance,mean_output_token_edit_distance_norm,50,0.3266544957883122,0.25838851420012066,0.05311480823755223,1.1462065156464083e-06,
output_distance,question_token_edit_distance_norm,50,0.3266544957883122,0.0392404777059068,0.08365790178022907,0.6390275842197706,
output_distance,containment_rate_delta,50,0.3266544957883122,0.016677896647791304,0.09586553947283917,0.8618876558372691,
