similarity_bin,task_type,mean_correctness_retention,n
<0.70,factual_qa,1.000000,12
<0.70,math_reasoning,1.000000,1
0.70-0.75,factual_qa,0.950000,8
0.70-0.75,math_reasoning,0.000000,1
0.75-0.80,factual_qa,1.000000,4
0.75-0.80,math_reasoning,1.000000,3
0.80-0.85,code_generation,0.333333,3
0.80-0.85,factual_qa,0.947635,21
0.80-0.85,math_reasoning,0.848889,15
0.85-0.90,code_generation,0.750000,16
0.85-0.90,factual_qa,0.899548,13
0.85-0.90,math_reasoning,0.919901,67
0.90-0.95,code_generation,0.939179,134
0.90-0.95,factual_qa,0.938142,33
0.90-0.95,math_reasoning,0.936434,86
0.95-1.00,code_generation,0.981818,77
0.95-1.00,factual_qa,0.990394,159
0.95-1.00,math_reasoning,0.981982,37
