item_id,task_type,perturbation_type,prompt_text
fact_001,factual_qa,paraphrasing,"Which city serves as Canada's capital?"
fact_001,factual_qa,reordering,"Canada has a capital city. What is it?"
fact_001,factual_qa,formatting,"Answer the following question: What is the capital city of Canada?"
fact_001,factual_qa,context_injection,"For a geography study session, answer this question: What is the capital city of Canada?"
fact_001,factual_qa,surface_noise,"What is the capital city of Cananda?"
fact_002,factual_qa,paraphrasing,"Who is the author of Pride and Prejudice?"
fact_002,factual_qa,reordering,"Pride and Prejudice is a novel. Who wrote it?"
fact_002,factual_qa,formatting,"Answer briefly: Who wrote the novel Pride and Prejudice?"
fact_002,factual_qa,context_injection,"For a literature review exercise, answer this question: Who wrote the novel Pride and Prejudice?"
fact_002,factual_qa,surface_noise,"Who wrote the novel Pride and Prejudcie?"
math_001,math_reasoning,paraphrasing,"Maya buys 7 notebooks, and each notebook costs 3 dollars. What is the total cost?"
math_001,math_reasoning,reordering,"Each notebook costs 3 dollars. Maya buys 7 of them. How much does she spend?"
math_001,math_reasoning,formatting,"Solve this: 7 notebooks x 3 dollars per notebook = ?"
math_001,math_reasoning,context_injection,"For a basic arithmetic worksheet, solve this problem: A notebook costs 3 dollars. If Maya buys 7 notebooks, how much does she spend in total?"
math_001,math_reasoning,surface_noise,"A notebook costs 3 dollars. If Maya buys 7 notbooks, how much does she spend in total?"
math_002,math_reasoning,paraphrasing,"How far does a train go if it moves at 60 miles per hour for 2.5 hours?"
math_002,math_reasoning,reordering,"For 2.5 hours, a train travels at 60 miles per hour. What distance does it cover?"
math_002,math_reasoning,formatting,"Calculate the distance: speed = 60 mph, time = 2.5 hours."
math_002,math_reasoning,context_injection,"In a simple distance-rate-time problem, answer this: A train travels 60 miles per hour for 2.5 hours. How many miles does it travel?"
math_002,math_reasoning,surface_noise,"A train travels 60 miles per hour for 2.5 hours. How many miles does it travle?"
code_001,code_generation,paraphrasing,"Create a Python function called add_numbers that accepts two numeric inputs and returns their sum."
code_001,code_generation,reordering,"The function should return the sum of two numbers. Write it in Python and name it add_numbers."
code_001,code_generation,formatting,"Task: Python function. Name: add_numbers. Inputs: two numbers. Output: their sum."
code_001,code_generation,context_injection,"For a beginner Python exercise, write a function named add_numbers that takes two numbers and returns their sum."
code_001,code_generation,surface_noise,"Write a Python function named add_numbers that takes two numbrs and returns their sum."
write_001,open_ended_writing,paraphrasing,"Write a brief paragraph about why getting enough sleep matters for students."
write_001,open_ended_writing,reordering,"For students, sleep is important. Write a short paragraph explaining why."
write_001,open_ended_writing,formatting,"In one short paragraph, explain: why sleep is important for students."
write_001,open_ended_writing,context_injection,"For a school wellness discussion, write a short paragraph explaining why sleep is important for students."
write_001,open_ended_writing,surface_noise,"Write a short paragraph explaining why sleep is importnat for students."
