group,n,pearson_r,pearson_p,spearman_rho,spearman_p,task_type,perturbation_type
overall,150,0.32770422976154856,4.247496072701996e-05,0.08961048974189605,0.2754866355641557,,
,50,0.5373729375474118,5.724204217704672e-05,0.1319459380325654,0.3610307810277328,code_generation,
,50,0.48140313729834583,0.0004012363055492405,0.43478833762767827,0.00160376721154608,factual_qa,
,50,-0.3301932859678878,0.019187497510045858,-0.21503763184165875,0.1336939183160484,math_reasoning,
,30,-0.3797640623922582,0.03845812853775516,-0.2532184905260758,0.1769752832204057,,context_injection
,30,-0.13587882769999163,0.47402463680207196,-0.3377105454181861,0.06797655322250731,,formatting_changes
,30,0.4365507922604191,0.015869905382603005,0.5164038135440868,0.00348399844290548,,paraphrasing
,30,0.1259776413196809,0.5071134476318413,-0.13213593843053975,0.4863993862227397,,reordering
,30,-0.0390838183872563,0.8375308908737601,-0.22821872273151764,0.22513848369785752,,surface_noise
,10,-0.2068949658026682,0.5662978119406452,-0.058025885318565944,0.8734948923712951,code_generation,context_injection
,10,-0.5729640418881178,0.08339164174962896,-0.5222329678670935,0.12150291881711318,code_generation,formatting_changes
,10,0.6503569657798827,0.041748292303474,0.6457765999379483,0.043703355830994085,code_generation,paraphrasing
,10,0.21050112236057267,0.5593958651434286,0.2901294265928297,0.4161202535070595,code_generation,reordering
,10,-0.21242654324477372,0.5557241446825724,-0.2901294265928297,0.4161202535070595,code_generation,surface_noise
,10,0.06189458368354542,0.8651230948033863,0.10770824204287092,0.7671025949001756,factual_qa,context_injection
,10,0.0100637055376636,0.9779878735745369,0.037743643137606524,0.9175532996853923,factual_qa,formatting_changes
,10,0.4806946703780075,0.1596198049592092,0.41107388982369863,0.23794186616753052,factual_qa,paraphrasing
,10,0.19463211244536616,0.5900073876739196,0.13576671860539954,0.7084243183280745,factual_qa,reordering
,10,-0.44445057013606243,0.19812445589437266,-0.21016277499709354,0.5600420518841536,factual_qa,surface_noise
,10,-0.5464738447524495,0.1021611883873763,-0.5449492609130662,0.10331591735410979,math_reasoning,context_injection
,10,-0.6065896850988991,0.06297892167806762,-0.36537670835006186,0.299164843623496,math_reasoning,formatting_changes
,10,-0.015417010607467405,0.9662833039845139,0.11236664374387367,0.7572780866919486,math_reasoning,paraphrasing
,10,-0.4919411023943631,0.14867052480803902,-0.49350967269159896,0.14718074772641374,math_reasoning,reordering
,10,0.0425827998835163,0.9070188497537135,-0.058025885318565944,0.8734948923712951,math_reasoning,surface_noise
