task_type,perturbation_type,n,noise_corrected_drift_mean,noise_corrected_drift_sd,noise_corrected_drift_ci95_low,noise_corrected_drift_ci95_high,absolute_performance_change_mean,absolute_performance_change_sd,absolute_performance_change_ci95_low,absolute_performance_change_ci95_high,pdr_mean,pdr_sd,pdr_ci95_low,pdr_ci95_high
code_generation,context_injection,10,0.0020752,0.010662099072050598,-0.005552006203523267,0.009702406203523268,0.04,0.1264911064067352,-0.050486286514163946,0.13048628651416394,0.1,0.31622776601683794,-0.12621571628540987,0.3262157162854099
code_generation,formatting_changes,10,0.0048078,0.016312661379704076,-0.0068615749730205925,0.016477174973020592,0.04,0.1264911064067352,-0.050486286514163946,0.13048628651416394,0.1,0.31622776601683794,-0.12621571628540987,0.3262157162854099
code_generation,paraphrasing,10,0.034560400000000005,0.04616402669515638,0.001536644695389812,0.0675841553046102,0.3,0.4830458915396479,-0.04555021442218171,0.6455502144221816,0.3,0.4830458915396479,-0.04555021442218171,0.6455502144221816
code_generation,reordering,10,0.007689699999999999,0.020209258472569228,-0.006767132613255768,0.022146532613255766,0.02,0.0632455532033676,-0.025243143257081973,0.06524314325708197,0.05,0.15811388300841897,-0.06310785814270493,0.16310785814270495
code_generation,surface_noise,10,0.0017279000000000003,0.014664644424601641,-0.008762554663002187,0.012218354663002189,0.04,0.1264911064067352,-0.050486286514163946,0.13048628651416394,0.1,0.31622776601683794,-0.12621571628540987,0.3262157162854099
factual_qa,context_injection,10,-0.0055021,0.01663771295347477,-0.017404002861119837,0.006399802861119836,-0.0250365,0.06238145838708808,-0.0696615070628277,0.019588507062827703,-0.0455737,0.08843420810730802,-0.10883572149517284,0.017688321495172833
factual_qa,formatting_changes,10,0.026844299999999998,0.06563459289471944,-0.020107859298970774,0.07379645929897077,0.0738341,0.255530772314521,-0.10896160266772666,0.25662980266772667,0.0651437,0.3433879595721466,-0.18050124831317996,0.31078864831318
factual_qa,paraphrasing,10,0.1125863,0.0992813909899534,0.041564671319208296,0.1836079286807917,0.32994080000000003,0.37158604491192737,0.06412415660335935,0.5957574433966407,0.41963549999999994,0.3887534855904475,0.14153800935583483,0.697732990644165
factual_qa,reordering,10,0.0412027,0.06081998176230133,-0.002305293975747136,0.08471069397574714,0.09768460000000001,0.3295406526981324,-0.13805458171151408,0.3334237817115141,0.1102715,0.3368589087319134,-0.13070284670507012,0.3512458467050701
factual_qa,surface_noise,10,-0.0062365,0.019244231096616982,-0.02000299361540052,0.00752999361540052,-0.0016686,0.003561500314318235,-0.0042163438455271925,0.000879143845527193,-0.006780900000000001,0.017128483985909423,-0.019033879308430993,0.005472079308430992
math_reasoning,context_injection,10,0.0003902000000000001,0.027616369810514768,-0.019365360862279638,0.02014576086227964,0.04,0.29514591494904874,-0.1711346685330492,0.2511346685330492,-0.13333333333333333,0.7483314773547883,-0.7085518270945281,0.4418851604278615
math_reasoning,formatting_changes,10,-0.0011413,0.0231360362784505,-0.017691823328986334,0.015409223328986333,0.039999999999999994,0.2458545188611437,-0.1358737279357597,0.21587372793575965,-0.11666666666666667,0.7483314773547883,-0.6918851604278614,0.458551827094528
math_reasoning,paraphrasing,10,0.0058223,0.015136432054630458,-0.005005651202303175,0.016650251202303176,0.13999999999999999,0.3134042472944842,-0.08419589266818675,0.36419589266818675,0.25,0.4330127018922193,-0.08284302705312879,0.5828430270531288
math_reasoning,reordering,10,-0.0005177,0.024330464397312453,-0.017922665732520895,0.016887265732520897,0.06000000000000001,0.1646545204697129,-0.057786748320207595,0.17778674832020763,-0.011111111111111108,0.4075673086879161,-0.32439507751390023,0.302172855291678
math_reasoning,surface_noise,10,-0.0060355999999999995,0.02108706595785936,-0.021120378259986316,0.009049178259986319,0.02,0.06324555320336758,-0.025243143257081973,0.06524314325708197,0.027777777777777776,0.08333333333333331,-0.03627789264456016,0.09183344820011571
